time,x,y,z
7.15799,-1.22575,-0.459656,9.65278
7.16901,-1.07253,-0.383047,9.95922
7.17999,-0.919312,-0.421352,9.99752
7.19,-0.881008,-0.268133,9.69109
7.20499,-0.612875,-0.306437,9.69109
7.216,-0.727789,-0.421352,9.76769
7.28299,0.0766094,-0.191523,10.2657
7.29498,-0.383047,-0.0766094,10.2657
7.306,-0.114914,0.0,9.76769
7.315,-0.191523,0.0,9.8443
7.32599,-0.114914,-0.0766094,9.8443
7.33701,0.0,-0.0766094,9.76769
7.34799,-0.191523,-0.191523,9.8443
7.35699,0.0,-0.0766094,9.69109
7.36798,-0.0766094,-0.114914,9.95922
7.379,-0.0383047,-0.153219,9.72939
7.38998,-0.153219,-0.191523,9.72939
7.39999,-0.0383047,-0.114914,9.72939
7.41098,-0.153219,-0.0766094,9.95922
7.42099,-0.114914,-0.0383047,9.806
7.43201,-0.0766094,-0.114914,9.8443
7.49899,-0.114914,-0.114914,9.88261
7.51401,-0.0766094,-0.0383047,9.72939
7.52399,-0.0383047,-0.114914,9.69109
7.535,0.0,-0.0766094,9.65278
7.54599,-0.191523,-0.153219,9.92091
7.55798,-0.0766094,-0.114914,9.69109
7.56799,-0.0383047,-0.114914,9.806
7.578,-0.0383047,-0.0383047,9.57617
7.58899,0.0766094,-0.114914,9.57617
7.60001,-0.153219,-0.0383047,9.76769
7.60999,0.153219,-0.0383047,9.76769
7.621,-0.229828,-0.0766094,9.61448
7.63199,-0.0383047,-0.0766094,9.57617
7.642,-0.0766094,-0.0383047,9.806
7.65198,-0.344742,-0.0766094,9.88261
7.72,-1.22575,-0.229828,11.4914
7.72998,-1.49388,-0.459656,10.7253
7.741,-1.26405,-0.957617,9.99752
7.75198,-0.842703,-1.45558,9.15482
7.76199,-0.306437,-0.881008,9.92091
7.776,-0.268133,-0.306437,9.88261
7.78699,-0.612875,-0.881008,8.58025
7.79898,-1.91523,-0.727789,8.31211
7.81,-1.57049,-0.995922,9.38465
7.82001,-1.49388,-1.34066,9.38465
7.83099,-1.49388,-1.18745,8.35042
7.841,-1.6471,-1.30236,8.23551
7.85199,-1.91523,-1.34066,7.69924
7.862,-1.99184,-1.57049,8.00568
7.87299,-2.10676,-1.72371,8.12059
7.94,-2.29828,-2.4898,10.687
7.95099,-2.33659,-1.83862,9.30804
7.961,-2.52811,-1.22575,8.58025
7.97198,-2.18337,-1.57049,9.0016
7.98199,-2.22167,-1.87693,9.65278
7.99298,-2.25998,-1.6088,9.23143
8.00299,-2.4515,-1.68541,9.15482
8.01401,-2.29828,-1.6471,9.76769
8.02798,-1.68541,-1.72371,10.189
8.039,-1.83862,-1.45558,9.57617
8.04999,-2.18337,-1.37897,9.26973
8.06198,-2.22167,-1.49388,9.11651
8.07199,-1.99184,-1.6471,9.30804
8.082,-1.53219,-1.41727,9.11651
8.09299,-1.91523,-1.34066,9.49956
